delivery_rate,rss_median,link,channel
0.5846716489107966,-70.0,0,149
0.493558606124604,-64.0,0,153
0.7032967032967034,-67.5,0,157
0.5028436018957346,-71.0,0,161
0.41887797743418304,-70.0,0,165
0.7649975480847818,-70.5,0,36
0.7945128779395296,-72.5,0,40
0.6403455676002862,-71.0,0,44
0.7727914043846321,-71.0,0,48
0.8465638956922633,-72.0,0,52
0.7400238406085031,-71.0,0,56
0.7528718105113348,-72.5,0,60
0.7735478105451296,-69.5,0,64
,,1,149
,,1,153
,,1,157
0.005493786788750818,-81.5,1,161
0.12774501192119464,-79.5,1,165
,,1,36
0.583249623304872,-77.0,1,40
0.002304147465437788,-85.0,1,44
0.0013848284351438683,-83.0,1,48
,,1,52
0.1946190595926578,-78.0,1,56
0.013486261658684145,-85.0,1,60
0.018174474959612278,-82.0,1,64
0.005440971782867266,-80.0,10,149
0.0030966600309666,-81.0,10,153
0.002243270189431705,-83.0,10,157
0.06305059149257489,-80.0,10,161
0.165073675826364,-80.0,10,165
0.01546003016591252,-83.0,10,36
0.08687028956763189,-79.0,10,40
0.1445676833879506,-78.0,10,44
0.4313404657016992,-76.0,10,48
0.0014858841010401188,-79.5,10,52
0.032181018227529855,-79.0,10,56
0.7491080530071356,-74.0,10,60
0.9291195213941995,-73.5,10,64
0.8985717242806872,-73.0,11,149
0.9144736842105263,-73.0,11,153
0.8208494208494208,-74.5,11,157
0.769406392694064,-75.0,11,161
0.5990149027532206,-77.0,11,165
0.9434922335297269,-70.0,11,36
0.9580670926517572,-72.0,11,40
0.6668780116662439,-76.0,11,44
0.9590728476821192,-69.0,11,48
0.8899339603762257,-72.0,11,52
0.9580226456779896,-66.0,11,56
0.9548953409858204,-68.0,11,60
0.9559972583961618,-71.0,11,64
,,12,149
0.0010395010395010396,-82.0,12,153
,,12,157
,,12,161
,,12,165
,,12,36
0.8213856627953544,-74.0,12,40
0.9565717572620075,-71.5,12,44
0.03207475691375174,-82.0,12,48
0.1734809409988678,-77.0,12,52
0.7576119402985074,-73.0,12,56
0.6784283313945974,-73.0,12,60
,,12,64
0.9619269619269619,-69.0,13,149
0.9405881176235247,-70.0,13,153
0.9402446360537398,-70.0,13,157
0.9613695090439276,-68.0,13,161
0.9615883726966,-64.0,13,165
0.9456704090850432,-70.0,13,36
0.8291661378347506,-76.0,13,40
0.961108220603538,-73.0,13,44
0.9589308996088657,-69.0,13,48
