delivery_rate,rss_median,link,channel
0.9612818835840419,-70.0,0,149
0.9404157043879907,-67.5,0,153
0.9401451027811366,-68.0,0,157
0.9487079600051941,-71.0,0,161
,,0,165
0.9306968955300786,-71.0,0,36
0.8904942965779468,-74.5,0,40
0.5428067078552515,-77.0,0,44
0.8826315115832587,-74.0,0,48
0.9443866943866944,-71.5,0,52
0.7424486378566368,-71.0,0,56
0.9607995846313603,-72.5,0,60
,,0,64
,,1,149
,,1,153
,,1,157
,,1,161
,,1,165
,,1,36
,,1,40
,,1,44
,,1,48
,,1,52
0.1946190595926578,-78.0,1,56
,,1,60
,,1,64
,,10,149
,,10,153
,,10,157
,,10,161
,,10,165
,,10,36
,,10,40
0.1445676833879506,-78.0,10,44
,,10,48
,,10,52
0.032181018227529855,-79.0,10,56
,,10,60
,,10,64
,,11,149
,,11,153
,,11,157
,,11,161
,,11,165
,,11,36
,,11,40
0.6668780116662439,-76.0,11,44
,,11,48
,,11,52
0.9580226456779896,-66.0,11,56
,,11,60
,,11,64
,,12,149
,,12,153
,,12,157
,,12,161
,,12,165
,,12,36
,,12,40
0.9565717572620075,-71.5,12,44
,,12,48
,,12,52
0.7576119402985074,-73.0,12,56
,,12,60
,,12,64
0.9619269619269619,-69.0,13,149
0.9405881176235247,-70.0,13,153
0.9402446360537398,-70.0,13,157
0.9613695090439276,-68.0,13,161
0.9616858237547893,-63.5,13,165
0.9456704090850432,-70.0,13,36
0.8291661378347506,-76.0,13,40
0.961108220603538,-73.0,13,44
0.9589308996088657,-69.0,13,48
0.9454994797086368,-68.0,13,52
0.9598544887618553,-70.0,13,56
0.9479491173416407,-69.0,13,60
0.9275568181818182,-73.0,13,64
0.792815583101442,-70.5,14,149
0.9398,-70.0,14,153
0.9011873616421815,-71.5,14,157
0.6913784333672431,-72.0,14,161
0.0008958967926894822,-82.0,14,165
0.9164730183320423,-74.0,14,36
0.14697732997481108,-80.0,14,40
0.007647385984427141,-83.0,14,44
0.6534828063987907,-76.5,14,48
0.8827319587628866,-72.5,14,52
0.8289273434417451,-71.0,14,56
0.6827916351725876,-75.5,14,60
0.7455696202531645,-75.5,14,64
,,15,149
,,15,153
,,15,157
,,15,161
,,15,165
,,15,36
,,15,40
,,15,44
,,15,48
,,15,52
0.5324429885347108,-76.0,15,56
,,15,60
