Ordered Overview of capture-time and settings
=======================================================
| 13:06:13 18.01.2017  | PROTO: udp | TX RATE:  6mbps |
| 13:07:31 18.01.2017  | PROTO: udp | TX RATE: 24mbps |
| 13:08:49 18.01.2017  | PROTO: udp | TX RATE: 54mbps |
| 13:10:07 18.01.2017  | PROTO: tcp | TX RATE:  6mbps |
| 13:11:25 18.01.2017  | PROTO: tcp | TX RATE: 24mbps |
| 13:12:43 18.01.2017  | PROTO: tcp | TX RATE: 54mbps |
| 13:15:18 18.01.2017  | PROTO: udp | TX RATE:  6mbps |
| 13:16:35 18.01.2017  | PROTO: udp | TX RATE: 24mbps |
| 13:17:53 18.01.2017  | PROTO: udp | TX RATE: 54mbps |
| 13:19:11 18.01.2017  | PROTO: tcp | TX RATE:  6mbps |
| 13:20:29 18.01.2017  | PROTO: tcp | TX RATE: 24mbps |
| 13:21:47 18.01.2017  | PROTO: tcp | TX RATE: 54mbps |
| 13:30:18 18.01.2017  | PROTO: udp | TX RATE:  6mbps |
| 13:31:35 18.01.2017  | PROTO: udp | TX RATE: 24mbps |
| 13:32:53 18.01.2017  | PROTO: udp | TX RATE: 54mbps |
| 13:34:11 18.01.2017  | PROTO: tcp | TX RATE:  6mbps |
| 13:35:29 18.01.2017  | PROTO: tcp | TX RATE: 24mbps |
| 13:36:46 18.01.2017  | PROTO: tcp | TX RATE: 54mbps |
| 13:45:17 18.01.2017  | PROTO: udp | TX RATE:  6mbps |
| 13:46:35 18.01.2017  | PROTO: udp | TX RATE: 24mbps |
| 13:47:53 18.01.2017  | PROTO: udp | TX RATE: 54mbps |
| 13:49:11 18.01.2017  | PROTO: tcp | TX RATE:  6mbps |
| 13:50:28 18.01.2017  | PROTO: tcp | TX RATE: 24mbps |
| 13:51:46 18.01.2017  | PROTO: tcp | TX RATE: 54mbps |
| 14:00:18 18.01.2017  | PROTO: udp | TX RATE:  6mbps |
| 14:01:36 18.01.2017  | PROTO: udp | TX RATE: 24mbps |
| 14:02:54 18.01.2017  | PROTO: udp | TX RATE: 54mbps |
| 14:04:12 18.01.2017  | PROTO: tcp | TX RATE:  6mbps |
| 14:05:29 18.01.2017  | PROTO: tcp | TX RATE: 24mbps |
| 14:06:47 18.01.2017  | PROTO: tcp | TX RATE: 54mbps |
| 14:15:17 18.01.2017  | PROTO: udp | TX RATE:  6mbps |
| 14:16:35 18.01.2017  | PROTO: udp | TX RATE: 24mbps |
